goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,year
7,1,0,40,45.98,4,36.36,15,55.56,5,3,85.01,44,44.9,690,22,10,24,7,0,0,0,8,0,0,0,0,0,150,7,295,21,5,25.0,13,68.42,0,0,2,3,32,18,3,21.88,0,3,6.62,0,0,0,Lionel Messi,Argentina,2022
1,0,0,23,58.97,0,0.0,13,61.9,3,1,87.68,23,57.5,290,7,0,6,5,0,0,0,2,0,0,0,0,0,66,0,121,10,6,22.22,4,66.67,1,0,2,0,6,3,2,16.67,0,5,0.64,0,0,0,Ángel Di María,Argentina,2022
1,1,0,31,55.36,9,75.0,3,60.0,22,1,87.61,40,58.82,563,6,7,7,7,0,0,0,6,0,0,0,0,0,89,1,410,6,1,50.0,16,51.61,3,7,10,0,8,3,2,12.5,1,0,0.32,0,0,0,Enzo Fernández,Argentina,2022
4,0,0,29,50.0,5,41.67,8,72.73,10,2,74.68,34,48.57,581,11,6,8,7,0,0,0,4,1,0,0,0,0,60,0,174,10,5,23.81,10,58.82,1,3,12,1,22,11,3,18.18,1,2,,0,0,0,Antoine Griezmann,France,2018
4,2,0,52,59.09,2,28.57,32,60.38,6,0,77.48,54,56.84,541,14,1,14,7,0,0,0,4,1,0,0,0,0,57,3,117,9,3,27.27,2,40.0,2,1,1,1,8,7,0,50.0,0,1,,0,0,0,Kylian Mbappé,France,2018
1,1,0,39,51.32,20,64.52,8,80.0,14,0,80.52,59,55.14,552,17,14,12,6,0,0,0,5,1,0,0,0,0,81,1,248,9,0,0.0,36,67.92,6,12,9,0,7,2,1,14.29,1,0,,0,0,0,Paul Pogba,France,2018
2,0,0,32,55.17,1,12.5,5,55.56,15,3,89.92,33,50.0,689,12,8,10,7,0,0,0,4,0,0,0,0,0,168,0,544,15,10,23.26,67,83.75,4,3,7,0,16,5,6,12.5,0,0,,0,1,1,Toni Kroos,Germany,2014
5,0,0,34,52.31,14,42.42,12,80.0,7,3,75.38,48,48.98,682,17,14,12,7,0,0,0,4,0,0,0,0,0,91,0,196,17,4,21.05,4,40.0,2,1,6,0,16,8,2,31.25,0,8,,0,0,0,Thomas Müller,Germany,2014
3,0,0,11,35.48,2,40.0,1,11.11,8,1,83.33,13,36.11,244,2,7,3,6,0,0,0,2,0,0,0,0,0,34,0,100,3,1,11.11,4,100.0,4,3,2,0,15,9,4,20.0,0,2,,0,0,0,Andre Schürrle,Germany,2014
0,1,0,34,57.63,0,0.0,9,75.0,10,1,91.17,34,57.63,635,15,2,14,7,0,0,0,1,1,0,0,0,0,202,0,599,30,15,34.09,56,82.35,9,1,6,0,7,0,1,0.0,0,1,,0,0,0,Xavi,Spain,2010
5,0,0,27,37.5,6,100.0,10,32.26,2,1,71.2,33,42.31,634,15,2,19,7,0,0,0,1,1,0,0,0,0,64,0,131,13,2,16.67,12,75.0,5,0,3,0,31,13,6,16.13,1,6,,0,0,0,David Villa,Spain,2010
0,1,0,37,57.81,5,71.43,3,50.0,23,0,86.92,42,59.15,593,11,11,5,7,0,0,0,1,1,0,0,0,0,140,0,452,10,2,25.0,62,75.61,16,11,8,0,15,1,5,0.0,1,0,,0,0,0,Xabi Alonso,Spain,2010
1,0,0,43,64.18,0,0.0,4,66.67,24,3,85.66,43,64.18,668,15,6,10,7,0,0,0,2,0,0,0,0,0,114,0,484,24,9,27.27,60,75.0,11,2,6,0,7,4,0,14.29,0,1,,0,0,0,Andrea Pirlo,Italy,2006
1,0,0,2,66.67,0,0.0,2,100.0,0,0,50.0,2,66.67,29,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0,0.0,1,1,0,0,3,1,0,33.33,0,1,,0,0,0,Filippo Inzaghi,Italy,2006
0,2,0,61,60.4,3,60.0,3,60.0,40,0,90.0,64,60.38,552,18,15,13,6,0,0,0,1,0,0,0,0,0,60,0,342,3,0,0.0,18,75.0,18,2,10,0,4,0,1,0.0,0,0,,0,0,0,Gennaro Gattuso,Italy,2006
8,0,0,29,44.62,2,40.0,11,39.29,4,0,70.0,31,44.29,552,14,3,12,7,0,0,0,4,0,0,0,0,0,36,0,77,13,3,42.86,0,0.0,5,0,4,0,34,19,6,23.53,1,6,,0,0,0,Ronaldo Nazário,Brazil,2002
5,0,0,39,48.15,14,73.68,14,48.28,7,1,82.79,53,53.0,611,18,9,13,7,0,0,0,4,0,0,0,0,0,79,0,178,13,6,26.09,16,84.21,7,6,5,0,27,11,5,18.52,1,2,,0,0,0,Rivaldo,Brazil,2002
1,0,0,38,65.52,2,100.0,9,64.29,17,1,80.17,40,66.67,540,12,4,5,6,0,0,0,4,0,0,0,0,0,42,0,186,2,1,33.33,32,57.14,10,21,6,0,1,1,0,100.0,0,0,,0,0,0,Edmílson,Brazil,2002
2,1,1,27,44.26,4,80.0,10,43.48,7,1,80.36,31,46.97,460,10,9,8,5,0,0,0,1,0,0,0,0,0,91,0,225,18,7,26.92,23,76.67,5,2,4,0,22,6,6,9.09,0,1,,0,0,0,Zinedine Zidane,France,1998
2,1,0,32,62.75,9,56.25,4,100.0,23,1,75.31,41,61.19,509,5,10,4,6,0,0,0,2,0,0,0,0,0,34,0,183,8,6,26.09,14,58.33,17,13,5,0,11,5,3,18.18,0,0,,0,0,0,Emmanuel Petit,France,1998
0,3,0,57,57.58,6,50.0,5,41.67,35,0,82.78,63,56.76,594,17,14,8,6,0,0,0,1,0,0,0,0,0,93,0,346,17,3,33.33,28,70.0,23,10,13,0,8,0,6,0.0,0,0,,0,0,0,Didier Deschamps,France,1998
0,1,0,70,54.69,3,33.33,4,57.14,57,1,85.12,73,53.28,656,9,11,17,7,0,0,0,3,0,0,0,0,0,143,0,589,10,5,55.56,57,77.03,34,7,27,0,16,4,5,0.0,0,0,,0,0,0,Dunga,Brazil,1994
3,0,0,26,49.06,1,33.33,11,68.75,5,2,83.2,27,48.21,660,10,6,9,7,0,0,0,3,0,0,0,0,0,95,0,203,18,6,17.65,8,80.0,2,0,7,0,24,11,4,12.5,2,9,,0,0,0,Bebeto,Brazil,1994
5,0,0,37,36.27,2,25.0,24,53.33,2,1,80.1,39,35.45,660,11,7,35,7,0,0,0,3,0,0,0,0,0,56,0,157,8,2,40.0,2,100.0,2,0,4,0,38,21,5,13.16,1,15,,0,0,0,Romário,Brazil,1994
4,1,0,63,69.23,3,75.0,12,57.14,32,0,86.79,66,69.47,660,19,10,6,7,0,0,0,5,0,0,0,0,0,136,0,381,22,9,50.0,64,82.05,14,7,3,0,23,8,6,17.39,1,4,,0,0,0,Lothar Matthäus,West Germany,1990
1,0,0,33,62.26,1,50.0,14,63.64,7,2,85.62,34,61.82,375,12,3,5,6,0,0,0,3,0,0,0,0,0,50,0,131,17,13,48.15,10,76.92,10,2,5,0,15,9,2,6.67,0,2,,0,0,0,Pierre Littbarski,West Germany,1990
3,1,0,34,50.75,4,23.53,13,54.17,3,1,72.0,38,45.24,632,18,10,11,7,0,0,0,4,0,0,0,0,0,27,0,72,8,3,20.0,5,83.33,3,1,1,0,23,9,2,13.04,2,6,,0,0,0,Jürgen Klinsmann,West Germany,1990
5,1,0,119,62.63,3,60.0,53,58.89,13,5,79.77,122,62.56,630,53,10,20,7,0,0,0,4,1,0,0,0,0,96,0,209,27,12,24.0,15,71.43,6,0,4,0,30,13,8,16.67,1,11,,0,0,0,Diego Armando Maradona,Argentina,1986
2,0,0,29,50.88,2,66.67,8,50.0,12,2,83.44,31,51.67,611,9,9,6,7,0,0,0,3,1,0,0,0,0,65,0,272,15,11,28.21,20,71.43,15,4,7,0,16,5,5,12.5,1,3,,0,0,0,Jorge Luis Burruchaga,Argentina,1986
4,1,0,36,46.15,5,41.67,11,52.38,9,1,83.33,41,45.56,630,16,11,9,7,0,0,0,4,1,0,0,0,0,46,0,165,5,0,0.0,6,66.67,10,6,13,0,19,8,1,21.05,0,7,,0,0,0,Jorge Valdano,Argentina,1986
6,1,0,32,45.71,1,16.67,9,45.0,3,1,82.47,33,43.42,576,20,7,18,7,0,0,0,3,1,0,0,0,0,41,0,127,14,2,11.76,5,62.5,2,0,2,0,14,7,1,42.86,0,3,,0,0,0,Paolo Rossi,Italy,1982
2,1,0,43,62.32,2,50.0,13,72.22,16,1,83.73,45,61.64,616,14,7,8,7,0,0,0,3,3,0,0,0,0,63,0,247,6,3,42.86,9,81.82,16,10,6,0,16,7,4,12.5,1,1,,0,0,0,Marco Tardelli,Italy,1982
1,1,0,47,47.0,0,0.0,13,46.43,18,3,76.95,47,46.53,630,16,15,11,7,0,0,0,3,3,0,0,0,0,68,0,187,15,10,29.41,15,57.69,8,3,13,0,14,6,1,7.14,0,2,,0,0,0,Bruno Conti,Italy,1982
6,0,0,77,55.8,7,46.67,38,55.88,10,1,77.2,84,54.9,660,29,17,15,7,0,0,0,4,0,0,0,0,0,72,0,193,16,5,31.25,12,57.14,17,6,3,0,41,16,8,14.63,1,8,,0,0,0,Mario Alberto Kempes,Argentina,1978
2,0,0,68,65.38,1,100.0,31,60.78,9,3,73.58,69,65.71,479,28,2,12,6,0,0,0,2,0,0,0,0,0,38,0,78,14,9,37.5,3,60.0,3,0,2,0,15,2,4,13.33,0,2,,0,0,0,Daniel Bertoni,Argentina,1978
0,1,0,77,65.25,3,50.0,20,66.67,25,2,81.06,80,64.52,471,32,7,14,6,0,0,0,3,0,0,0,0,0,71,0,261,16,0,0.0,18,78.26,13,7,10,0,9,2,2,0.0,0,0,,0,0,0,Osvaldo Ardiles,Argentina,1978
1,0,0,45,64.29,4,50.0,14,56.0,22,2,87.41,49,62.82,360,9,7,3,4,0,0,0,3,0,0,0,0,0,26,0,118,7,2,13.33,2,50.0,7,12,4,0,12,3,4,8.33,1,1,,0,0,0,Rainer Bonhof,West Germany,1974
3,0,0,35,57.38,3,100.0,12,48.0,16,0,91.4,38,59.38,630,7,5,7,7,0,0,0,4,0,0,0,0,0,82,0,319,15,4,11.76,11,73.33,12,15,1,0,23,7,8,13.04,0,2,,0,0,0,Paul Breitner,West Germany,1974
4,0,0,24,42.86,4,26.67,9,40.91,7,2,80.68,28,39.44,630,8,6,7,7,0,0,0,4,0,0,0,0,0,65,0,142,18,1,20.0,5,71.43,7,0,7,0,29,13,9,13.79,2,12,,0,0,0,Gerd Müller,West Germany,1974
4,0,0,45,42.86,2,40.0,13,52.0,12,6,83.94,47,42.73,540,20,23,16,6,0,0,0,6,1,0,0,0,0,92,0,209,28,0,0.0,9,81.82,3,0,10,0,31,10,5,12.9,2,6,,0,0,0,Pelé,Brazil,1970
3,1,0,41,57.75,0,0.0,19,67.86,12,3,87.69,41,56.94,450,10,4,8,5,0,0,0,4,1,0,0,0,0,80,0,228,13,2,12.5,30,85.71,4,0,10,0,30,15,5,10.0,1,0,,0,0,0,Rivellino,Brazil,1970
7,0,0,78,60.94,1,50.0,47,67.14,5,1,83.71,79,60.77,530,26,12,13,6,0,0,0,6,1,0,0,0,0,87,0,185,13,3,13.64,4,44.44,4,2,2,0,12,7,0,58.33,0,3,,0,0,0,Jairzinho,Brazil,1970
4,0,0,11,32.35,8,61.54,5,50.0,3,1,79.35,19,40.43,300,3,5,9,3,0,0,0,3,0,0,0,0,0,28,0,73,9,0,0.0,1,50.0,5,1,5,0,17,10,2,23.53,0,4,,0,0,0,Geoff Hurst,England,1966
3,0,0,36,52.17,3,60.0,12,48.0,18,0,77.23,39,52.7,570,6,5,8,6,0,0,0,3,0,0,0,0,0,104,0,234,18,12,32.43,33,70.21,9,4,7,0,30,11,5,10.0,1,2,,0,0,0,Bobby Charlton,England,1966
1,1,0,30,53.57,8,88.89,5,45.45,23,1,77.35,38,58.46,480,2,12,5,5,0,0,0,3,0,0,0,0,0,57,0,140,12,5,33.33,8,66.67,22,14,4,0,33,6,11,3.03,0,2,,0,0,0,Martin Peters,England,1966
